country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
BDI,2023,-1.55602598190308,39.3820040011509,2.70000059705133,-1.20011341571808,-1.25105631351471,-1.36691832542419,1,1,0
BEN,2000,-0.700917899608612,42.8816395497772,5.85771420543269,-0.396729677915573,-0.181523725390434,0.41292342543602,0,0,0
BEN,2001,,44.6080456131561,5.33313570603937,,,,0,0,0
BEN,2002,-0.795710146427155,44.4370658133816,4.64303087074482,-0.576151072978973,-0.260578572750092,0.0508796386420727,0,0,0
BEN,2003,-0.577583432197571,32.1334455509149,3.44357677591658,-0.561285614967346,-0.425706028938293,0.187651932239532,0,0,0
BEN,2004,-0.563022553920746,32.419186077994,4.42968455385082,-0.524759590625763,-0.47660157084465,0.0530563071370125,0,0,0
BEN,2005,-0.871326267719269,28.6476157952963,1.71316456361184,-0.652987897396088,-0.534019768238068,-0.0299640763550997,0,0,0
BEN,2006,-0.58709591627121,17.9181942417548,3.94373882815798,-0.647012531757355,-0.53156977891922,0.362777709960938,0,0,0
BEN,2007,-0.470139265060425,18.4502839223657,5.98634932177609,-0.543749690055847,-0.51314514875412,0.368180990219116,0,0,0
BEN,2008,-0.514077365398407,17.4105461426429,4.89657708429647,-0.492893785238266,-0.530703067779541,0.344647467136383,0,0,0
BEN,2009,-0.627268314361572,20.7638857666327,2.31929213912838,-0.595060706138611,-0.65431421995163,0.342523217201233,0,0,0
BEN,2010,-0.665382146835327,24.0894770495564,2.11406472648392,-0.609903872013092,-0.673685908317566,0.314489126205444,0,0,0
BEN,2011,-0.605445802211761,19.996755003711,2.96375291904201,-0.547139346599579,-0.658945083618164,0.16639056801796,0,0,0
BEN,2012,-0.857918381690979,23.6582252776724,4.811223315688,-0.526746511459351,-0.574936270713806,0.124485470354557,0,0,0
BEN,2013,-0.745601773262024,24.9636746718343,7.19143372144946,-0.508882761001587,-0.568178832530975,0.155436858534813,0,0,0
BEN,2014,-0.669655799865723,29.09637367081,6.35767909791932,-0.485428422689438,-0.485574275255203,0.264536678791046,0,0,0
BEN,2015,-0.563740015029907,31.4017254236076,1.77815106030278,-0.682311475276947,-0.555592477321625,0.29437643289566,0,0,0
BEN,2016,-0.529033243656158,35.8378680486816,3.33967342629693,-0.625652372837067,-0.627077043056488,0.407765537500381,0,0,0
BEN,2017,-0.576484858989716,38.051632039449,5.67156195150444,-0.697358727455139,-0.645502924919128,0.380507737398148,0,0,0
BEN,2018,-0.391633450984955,48.5756210711522,6.69725362180888,-0.631518959999084,-0.692261755466461,0.247411072254181,0,0,0
BEN,2019,-0.329359769821167,48.5208750210975,6.86568662848335,-0.490367919206619,-0.675484120845795,0.060940396040678,0,0,0
BEN,2020,-0.0399823486804962,54.2141769896793,3.84879240030133,-0.290913850069046,-0.76691859960556,-0.0757769346237183,0,0,0
BEN,2021,-0.170538559556007,57.5985101856642,7.1554516457574,-0.23760136961937,-0.626956880092621,-0.233453392982483,0,0,0
BEN,2022,-0.0898572877049446,62.3431340504469,6.25324491401346,-0.170590236783028,-0.596109390258789,-0.335694015026093,0,0,0
BEN,2023,-0.0495794489979744,64.1058071272236,6.35282160914288,-0.218984127044678,-0.505709648132324,-0.218986943364143,0,0,0
BFA,2000,0.12469719350338,48.7863677720035,1.88847388906525,-0.783201575279236,-0.732384085655212,-0.230154827237129,0,0,0
BFA,2001,,47.6987840842342,6.61340574539679,,,,0,0,0
BFA,2002,0.120319604873657,43.6036836585019,4.35296382988099,-0.846448183059692,-0.799848556518555,-0.387816607952118,0,0,0
BFA,2003,-0.107514306902885,37.5117673258691,7.80249388870359,-0.812532126903534,-0.624177575111389,-0.309724420309067,0,0,0
BFA,2004,-0.149054154753685,35.9675476454255,4.47845213670386,-0.696795463562012,-0.535743415355682,-0.433708816766739,0,0,0
BFA,2005,-0.105527251958847,33.0686776652641,8.66187322841225,-0.604898989200592,-0.500521123409271,-0.446520090103149,0,0,0
BFA,2006,-0.310118108987808,17.5211107667213,6.25316468817478,-0.80056357383728,-0.433823466300964,-0.341833859682083,0,0,0
BFA,2007,-0.329598039388657,25.9043169252733,4.11137901761516,-0.770006239414215,-0.395825952291489,-0.307009160518646,0,0,0
BFA,2008,-0.30901512503624,28.411771846923,5.79999174105387,-0.530283987522125,-0.344681531190872,-0.283480763435364,0,0,0
